member_id,Age,Gender,Plan_Type,Join_Date,Last_Date,Monthly_Fee,PT_Opted,Status,Total_Revenue,Group_Stage,Member_type,Month,,,,
10041,32,F,Monthly,13-09-2024,29-12-2025,1700,Yes,Active,1700,25-34,Safe,Sep-24,,,,
10042,32,M,Yearly,15-02-2025,09-01-2026,800,No,Active,9600,25-34,Safe,Feb-25,,,,
10043,36,F,Yearly,08-06-2024,19-11-2025,800,No,Inactive,9600,35+,High Risk,Jun-24,,,,
10044,29,F,Monthly,21-09-2023,06-01-2026,1700,Yes,Active,1700,25-34,Safe,Sep-23,,,,
10045,40,M,Yearly,09-01-2025,29-12-2025,800,No,Active,9600,35+,Safe,Jan-25,,,,
10046,37,M,Yearly,17-09-2025,26-11-2025,800,No,Inactive,9600,35+,High Risk,Sep-25,,,,
10047,42,M,Quarterly,17-11-2025,17-10-2025,1000,No,Inactive,3000,35+,High Risk,Nov-25,,,,
10048,20,F,Monthly,24-10-2025,07-01-2026,1700,Yes,Active,1700,18-24,Safe,Oct-25,,,,
10049,22,F,Monthly,09-03-2024,15-09-2025,1700,Yes,Inactive,1700,18-24,High Risk,Mar-24,,,,
10050,36,M,Monthly,30-09-2023,02-01-2026,1700,Yes,Active,1700,35+,Safe,Sep-23,,,,
10051,24,M,Monthly,09-12-2025,02-12-2025,1200,No,Inactive,1200,18-24,High Risk,Dec-25,,,,
10052,38,M,Yearly,25-08-2024,05-01-2026,1300,Yes,Active,15600,35+,Safe,Aug-24,,,,
10053,26,M,Monthly,27-06-2025,18-12-2025,1700,Yes,Active,1700,25-34,Safe,Jun-25,,,,
10054,24,M,Yearly,08-02-2025,28-12-2025,800,No,Active,9600,18-24,Safe,Feb-25,,,,
10055,35,M,Monthly,12-05-2024,22-12-2025,1200,No,Active,1200,35+,Safe,May-24,,,,
10056,21,F,Quarterly,04-03-2025,23-09-2025,1500,Yes,Inactive,4500,18-24,High Risk,Mar-25,,,,
10057,42,M,Yearly,27-02-2024,15-10-2025,1300,Yes,Inactive,15600,35+,High Risk,Feb-24,,,,
10058,45,F,Yearly,01-11-2024,28-12-2025,800,No,Active,9600,35+,Safe,Nov-24,,,,
10059,31,M,Monthly,18-12-2024,27-12-2025,1700,Yes,Active,1700,25-34,Safe,Dec-24,,,,
10060,35,M,Quarterly,16-03-2024,06-01-2026,1000,No,Active,3000,35+,Safe,Mar-24,,,,
10061,43,M,Monthly,30-09-2025,24-12-2025,1200,No,Active,1200,35+,Safe,Sep-25,,,,
10062,26,M,Monthly,14-08-2024,08-11-2025,1200,No,Inactive,1200,25-34,High Risk,Aug-24,,,,
10063,43,F,Monthly,09-05-2025,31-12-2025,1200,No,Active,1200,35+,Safe,May-25,,,,
10064,38,M,Quarterly,01-03-2025,23-12-2025,1000,No,Active,3000,35+,Safe,Mar-25,,,,
10065,19,F,Monthly,10-10-2023,28-12-2025,1200,No,Active,1200,18-24,Safe,Oct-23,,,,
10066,37,M,Quarterly,09-09-2025,25-09-2025,1500,Yes,Inactive,4500,35+,High Risk,Sep-25,,,,
10067,45,F,Monthly,13-01-2025,09-01-2026,1200,No,Active,1200,35+,Safe,Jan-25,,,,
10068,32,M,Quarterly,30-09-2024,24-12-2025,1000,No,Active,3000,25-34,Safe,Sep-24,,,,
10069,45,F,Monthly,30-03-2025,02-11-2025,1700,Yes,Inactive,1700,35+,High Risk,Mar-25,,,,
10070,24,F,Quarterly,21-05-2024,06-10-2025,1500,Yes,Inactive,4500,18-24,High Risk,May-24,,,,
10071,29,M,Yearly,23-09-2023,10-01-2026,1300,Yes,Active,15600,25-34,Safe,Sep-23,,,,
10072,25,M,Quarterly,09-12-2023,22-12-2025,1000,No,Active,3000,25-34,Safe,Dec-23,,,,
10073,32,F,Yearly,17-10-2023,04-10-2025,1300,Yes,Inactive,15600,25-34,High Risk,Oct-23,,,,
10074,20,F,Monthly,22-04-2024,28-09-2025,1700,Yes,Inactive,1700,18-24,High Risk,Apr-24,,,,
10075,31,M,Quarterly,03-12-2024,24-12-2025,1000,No,Active,3000,25-34,Safe,Dec-24,,,,
10076,34,F,Monthly,20-11-2025,02-01-2026,1200,No,Active,1200,25-34,Safe,Nov-25,,,,
10077,21,F,Monthly,19-10-2024,08-01-2026,1700,Yes,Active,1700,18-24,Safe,Oct-24,,,,
10078,35,F,Quarterly,11-10-2025,29-12-2025,1000,No,Active,3000,35+,Safe,Oct-25,,,,
10079,25,F,Yearly,21-09-2025,04-01-2026,800,No,Active,9600,25-34,Safe,Sep-25,,,,
10080,21,F,Monthly,10-08-2025,20-10-2025,1200,No,Inactive,1200,18-24,High Risk,Aug-25,,,,
10081,19,M,Quarterly,07-07-2025,22-11-2025,1000,No,Inactive,3000,18-24,High Risk,Jul-25,,,,
10082,23,M,Quarterly,13-11-2023,20-12-2025,1500,Yes,Active,4500,18-24,Safe,Nov-23,,,,
10083,39,M,Monthly,04-09-2024,24-12-2025,1700,Yes,Active,1700,35+,Safe,Sep-24,,,,
10084,27,F,Monthly,03-08-2025,26-12-2025,1200,No,Active,1200,25-34,Safe,Aug-25,,,,
10085,21,F,Monthly,10-04-2024,20-12-2025,1700,Yes,Active,1700,18-24,Safe,Apr-24,,,,
10086,39,M,Monthly,01-05-2024,06-01-2026,1700,Yes,Active,1700,35+,Safe,May-24,,,,
10087,35,F,Monthly,06-02-2024,02-11-2025,1200,No,Inactive,1200,35+,High Risk,Feb-24,,,,
10088,43,F,Monthly,07-10-2023,28-11-2025,1700,Yes,Inactive,1700,35+,High Risk,Oct-23,,,,
10089,29,M,Monthly,26-03-2024,07-01-2026,1200,No,Active,1200,25-34,Safe,Mar-24,,,,
10090,19,M,Quarterly,17-07-2024,06-11-2025,1500,Yes,Inactive,4500,18-24,High Risk,Jul-24,,,,
10091,27,M,Quarterly,29-12-2024,09-11-2025,1000,No,Inactive,3000,25-34,High Risk,Dec-24,,,,
10092,21,M,Yearly,22-04-2025,10-01-2026,800,No,Active,9600,18-24,Safe,Apr-25,,,,
10093,31,M,Monthly,18-05-2024,27-12-2025,1200,No,Active,1200,25-34,Safe,May-24,,,,
10094,33,M,Yearly,22-12-2023,31-12-2025,1300,Yes,Active,15600,25-34,Safe,Dec-23,,,,
10095,32,M,Yearly,25-09-2025,17-12-2025,800,No,Active,9600,25-34,Safe,Sep-25,,,,
10096,25,M,Quarterly,02-09-2023,29-12-2025,1000,No,Active,3000,25-34,Safe,Sep-23,,,,
10097,31,M,Monthly,26-12-2024,26-10-2025,1200,No,Inactive,1200,25-34,High Risk,Dec-24,,,,
10098,40,M,Yearly,09-07-2024,19-12-2025,800,No,Active,9600,35+,Safe,Jul-24,,,,
10099,45,F,Monthly,20-04-2024,22-09-2025,1200,No,Inactive,1200,35+,High Risk,Apr-24,,,,
10100,42,M,Monthly,27-01-2025,08-01-2026,1200,No,Active,1200,35+,Safe,Jan-25,,,,
10101,25,F,Quarterly,31-03-2024,22-12-2025,1000,No,Active,3000,25-34,Safe,Mar-24,,,,
10102,38,F,Quarterly,14-04-2024,17-12-2025,1000,No,Active,3000,35+,Safe,Apr-24,,,,
10103,33,M,Monthly,27-03-2024,26-12-2025,1700,Yes,Active,1700,25-34,Safe,Mar-24,,,,
10104,30,M,Yearly,07-08-2024,07-12-2025,800,No,Inactive,9600,25-34,High Risk,Aug-24,,,,
10105,35,M,Quarterly,18-06-2024,09-01-2026,1000,No,Active,3000,35+,Safe,Jun-24,,,,
10106,32,M,Quarterly,03-09-2023,13-11-2025,1000,No,Inactive,3000,25-34,High Risk,Sep-23,,,,
10107,38,M,Yearly,30-01-2024,20-12-2025,800,No,Active,9600,35+,Safe,Jan-24,,,,
10108,41,M,Monthly,05-11-2025,02-01-2026,1200,No,Active,1200,35+,Safe,Nov-25,,,,
10109,43,M,Yearly,14-06-2025,02-01-2026,800,No,Active,9600,35+,Safe,Jun-25,,,,
10110,42,M,Quarterly,01-05-2024,02-01-2026,1500,Yes,Active,4500,35+,Safe,May-24,,,,
10111,45,M,Monthly,22-09-2023,03-01-2026,1700,Yes,Active,1700,35+,Safe,Sep-23,,,,
10112,45,M,Yearly,04-04-2025,27-12-2025,800,No,Active,9600,35+,Safe,Apr-25,,,,
10113,45,M,Quarterly,04-08-2023,04-01-2026,1000,No,Active,3000,35+,Safe,Aug-23,,,,
10114,30,M,Yearly,03-05-2024,06-01-2026,1300,Yes,Active,15600,25-34,Safe,May-24,,,,
10115,26,M,Yearly,28-11-2024,03-01-2026,1300,Yes,Active,15600,25-34,Safe,Nov-24,,,,
10116,32,F,Yearly,13-02-2024,29-12-2025,1300,Yes,Active,15600,25-34,Safe,Feb-24,,,,
10117,30,M,Quarterly,18-10-2024,21-12-2025,1000,No,Active,3000,25-34,Safe,Oct-24,,,,
10118,18,M,Yearly,30-09-2025,19-11-2025,1300,Yes,Inactive,15600,18-24,High Risk,Sep-25,,,,
10119,42,M,Quarterly,11-02-2025,21-12-2025,1000,No,Active,3000,35+,Safe,Feb-25,,,,
10120,24,M,Monthly,21-11-2024,13-09-2025,1200,No,Inactive,1200,18-24,High Risk,Nov-24,,,,
10121,26,F,Yearly,29-02-2024,14-10-2025,800,No,Inactive,9600,25-34,High Risk,Feb-24,,,,
10122,41,F,Monthly,10-11-2025,05-01-2026,1200,No,Active,1200,35+,Safe,Nov-25,,,,
10123,18,M,Quarterly,11-05-2024,06-10-2025,1000,No,Inactive,3000,18-24,High Risk,May-24,,,,
10124,29,F,Yearly,02-06-2024,28-12-2025,1300,Yes,Active,15600,25-34,Safe,Jun-24,,,,
10125,25,F,Quarterly,26-05-2024,07-01-2026,1000,No,Active,3000,25-34,Safe,May-24,,,,
10126,41,F,Quarterly,31-12-2023,24-12-2025,1000,No,Active,3000,35+,Safe,Dec-23,,,,
10127,28,F,Yearly,27-10-2025,19-09-2025,800,No,Inactive,9600,25-34,High Risk,Oct-25,,,,
10128,36,F,Quarterly,11-10-2023,01-01-2026,1500,Yes,Active,4500,35+,Safe,Oct-23,,,,
10129,34,M,Yearly,09-12-2025,26-12-2025,1300,Yes,Active,15600,25-34,Safe,Dec-25,,,,
10130,25,M,Monthly,14-02-2025,27-12-2025,1700,Yes,Active,1700,25-34,Safe,Feb-25,,,,
10131,20,M,Monthly,17-11-2025,24-12-2025,1200,No,Active,1200,18-24,Safe,Nov-25,,,,
10132,20,M,Monthly,31-07-2023,27-12-2025,1200,No,Active,1200,18-24,Safe,Jul-23,,,,
10133,18,M,Quarterly,24-11-2023,12-11-2025,1500,Yes,Inactive,4500,18-24,High Risk,Nov-23,,,,
10134,44,M,Quarterly,09-10-2024,30-12-2025,1000,No,Active,3000,35+,Safe,Oct-24,,,,
10135,22,M,Yearly,24-01-2025,31-12-2025,1300,Yes,Active,15600,18-24,Safe,Jan-25,,,,
10136,27,F,Monthly,31-05-2024,19-12-2025,1700,Yes,Active,1700,25-34,Safe,May-24,,,,
10137,24,F,Quarterly,08-07-2025,20-12-2025,1000,No,Active,3000,18-24,Safe,Jul-25,,,,
10138,43,M,Monthly,20-03-2025,23-12-2025,1700,Yes,Active,1700,35+,Safe,Mar-25,,,,
10139,26,M,Monthly,07-08-2023,04-12-2025,1200,No,Inactive,1200,25-34,High Risk,Aug-23,,,,
10140,45,F,Quarterly,16-10-2025,28-12-2025,1000,No,Active,3000,35+,Safe,Oct-25,,,,
10141,24,M,Monthly,16-03-2024,29-12-2025,1200,No,Active,1200,18-24,Safe,Mar-24,,,,
10142,26,F,Monthly,21-12-2023,21-12-2025,1700,Yes,Active,1700,25-34,Safe,Dec-23,,,,
10143,25,M,Monthly,02-10-2023,07-11-2025,1200,No,Inactive,1200,25-34,High Risk,Oct-23,,,,
10144,29,M,Monthly,25-09-2024,27-12-2025,1200,No,Active,1200,25-34,Safe,Sep-24,,,,
10145,19,F,Quarterly,16-05-2025,07-01-2026,1000,No,Active,3000,18-24,Safe,May-25,,,,
10146,18,M,Monthly,18-07-2024,22-10-2025,1700,Yes,Inactive,1700,18-24,High Risk,Jul-24,,,,
10147,33,M,Quarterly,09-02-2024,01-01-2026,1500,Yes,Active,4500,25-34,Safe,Feb-24,,,,
10148,40,F,Yearly,26-02-2025,27-12-2025,1300,Yes,Active,15600,35+,Safe,Feb-25,,,,
10149,40,M,Quarterly,10-06-2024,09-01-2026,1500,Yes,Active,4500,35+,Safe,Jun-24,,,,
10150,41,M,Yearly,24-11-2023,22-12-2025,800,No,Active,9600,35+,Safe,Nov-23,,,,
10151,22,F,Quarterly,26-04-2025,08-01-2026,1000,No,Active,3000,18-24,Safe,Apr-25,,,,
10152,20,M,Quarterly,21-12-2024,20-12-2025,1000,No,Active,3000,18-24,Safe,Dec-24,,,,
10153,29,F,Yearly,24-05-2025,20-12-2025,1300,Yes,Active,15600,25-34,Safe,May-25,,,,
10154,25,M,Monthly,16-10-2023,06-01-2026,1200,No,Active,1200,25-34,Safe,Oct-23,,,,
10155,39,M,Yearly,18-04-2024,22-12-2025,1300,Yes,Active,15600,35+,Safe,Apr-24,,,,
10156,44,M,Monthly,05-09-2025,28-12-2025,1200,No,Active,1200,35+,Safe,Sep-25,,,,
10157,20,M,Monthly,14-10-2025,02-01-2026,1200,No,Active,1200,18-24,Safe,Oct-25,,,,
10158,18,F,Monthly,18-04-2025,19-10-2025,1200,No,Inactive,1200,18-24,High Risk,Apr-25,,,,
10159,20,F,Quarterly,24-10-2024,27-12-2025,1000,No,Active,3000,18-24,Safe,Oct-24,,,,
10160,22,M,Quarterly,07-09-2023,03-01-2026,1500,Yes,Active,4500,18-24,Safe,Sep-23,,,,
10161,32,F,Quarterly,21-02-2024,31-12-2025,1000,No,Active,3000,25-34,Safe,Feb-24,,,,
10162,31,M,Monthly,20-03-2025,22-09-2025,1200,No,Inactive,1200,25-34,High Risk,Mar-25,,,,
10163,20,M,Monthly,18-05-2024,03-11-2025,1200,No,Inactive,1200,18-24,High Risk,May-24,,,,
10164,18,M,Monthly,20-12-2024,05-01-2026,1200,No,Active,1200,18-24,Safe,Dec-24,,,,
10165,22,M,Monthly,12-11-2024,21-12-2025,1200,No,Active,1200,18-24,Safe,Nov-24,,,,
10166,43,M,Yearly,01-09-2025,17-12-2025,1300,Yes,Active,15600,35+,Safe,Sep-25,,,,
10167,40,F,Monthly,14-05-2024,10-01-2026,1200,No,Active,1200,35+,Safe,May-24,,,,
10168,31,M,Yearly,15-07-2024,20-12-2025,1300,Yes,Active,15600,25-34,Safe,Jul-24,,,,
10169,24,M,Yearly,26-01-2024,16-11-2025,800,No,Inactive,9600,18-24,High Risk,Jan-24,,,,
10170,44,M,Monthly,24-09-2023,07-01-2026,1200,No,Active,1200,35+,Safe,Sep-23,,,,
10171,26,M,Quarterly,15-04-2024,18-11-2025,1500,Yes,Inactive,4500,25-34,High Risk,Apr-24,,,,
10172,32,F,Monthly,03-01-2024,26-12-2025,1200,No,Active,1200,25-34,Safe,Jan-24,,,,
10173,32,M,Monthly,24-09-2023,17-12-2025,1700,Yes,Active,1700,25-34,Safe,Sep-23,,,,
10174,43,M,Monthly,05-11-2024,27-12-2025,1200,No,Active,1200,35+,Safe,Nov-24,,,,
10175,27,M,Quarterly,08-05-2025,05-01-2026,1000,No,Active,3000,25-34,Safe,May-25,,,,
10176,45,M,Monthly,03-09-2023,29-12-2025,1200,No,Active,1200,35+,Safe,Sep-23,,,,
10177,30,M,Quarterly,31-03-2025,20-11-2025,1000,No,Inactive,3000,25-34,High Risk,Mar-25,,,,
10178,36,M,Quarterly,14-12-2024,02-01-2026,1000,No,Active,3000,35+,Safe,Dec-24,,,,
10179,24,F,Monthly,16-08-2025,26-12-2025,1200,No,Active,1200,18-24,Safe,Aug-25,,,,
10180,34,F,Quarterly,14-09-2023,19-11-2025,1000,No,Inactive,3000,25-34,High Risk,Sep-23,,,,
10181,37,M,Yearly,12-11-2025,05-01-2026,800,No,Active,9600,35+,Safe,Nov-25,,,,
10182,21,M,Monthly,21-12-2024,18-10-2025,1200,No,Inactive,1200,18-24,High Risk,Dec-24,,,,
10183,22,M,Monthly,03-04-2025,10-01-2026,1700,Yes,Active,1700,18-24,Safe,Apr-25,,,,
10184,40,M,Quarterly,28-11-2025,30-12-2025,1500,Yes,Active,4500,35+,Safe,Nov-25,,,,
10185,24,M,Monthly,24-08-2025,17-10-2025,1700,Yes,Inactive,1700,18-24,High Risk,Aug-25,,,,
10186,30,M,Quarterly,04-10-2025,07-01-2026,1000,No,Active,3000,25-34,Safe,Oct-25,,,,
10187,32,M,Monthly,12-08-2024,07-01-2026,1200,No,Active,1200,25-34,Safe,Aug-24,,,,
10188,28,M,Monthly,19-07-2024,04-10-2025,1200,No,Inactive,1200,25-34,High Risk,Jul-24,,,,
10189,21,M,Monthly,23-04-2024,30-11-2025,1200,No,Inactive,1200,18-24,High Risk,Apr-24,,,,
10190,30,M,Monthly,01-04-2025,18-12-2025,1700,Yes,Active,1700,25-34,Safe,Apr-25,,,,
10191,24,M,Quarterly,12-06-2025,27-12-2025,1500,Yes,Active,4500,18-24,Safe,Jun-25,,,,
10192,44,M,Monthly,14-11-2024,27-12-2025,1200,No,Active,1200,35+,Safe,Nov-24,,,,
10193,36,M,Yearly,16-06-2025,21-09-2025,800,No,Inactive,9600,35+,High Risk,Jun-25,,,,
10194,39,F,Yearly,18-11-2024,25-12-2025,800,No,Active,9600,35+,Safe,Nov-24,,,,
10195,45,M,Quarterly,22-09-2024,10-10-2025,1000,No,Inactive,3000,35+,High Risk,Sep-24,,,,
10196,19,F,Yearly,13-04-2025,02-01-2026,800,No,Active,9600,18-24,Safe,Apr-25,,,,
10197,27,M,Monthly,05-10-2025,23-12-2025,1200,No,Active,1200,25-34,Safe,Oct-25,,,,
10198,30,F,Monthly,04-09-2025,18-12-2025,1200,No,Active,1200,25-34,Safe,Sep-25,,,,
10199,42,M,Quarterly,03-12-2025,20-12-2025,1000,No,Active,3000,35+,Safe,Dec-25,,,,
10200,38,F,Monthly,20-10-2025,03-10-2025,1700,Yes,Inactive,1700,35+,High Risk,Oct-25,,,,
10201,23,F,Quarterly,16-11-2023,02-11-2025,1000,No,Inactive,3000,18-24,High Risk,Nov-23,,,,
10202,45,M,Monthly,17-06-2024,17-12-2025,1200,No,Active,1200,35+,Safe,Jun-24,,,,
10203,45,M,Quarterly,18-06-2025,26-10-2025,1000,No,Inactive,3000,35+,High Risk,Jun-25,,,,
10204,29,M,Yearly,14-06-2025,17-11-2025,1300,Yes,Inactive,15600,25-34,High Risk,Jun-25,,,,
10205,29,M,Yearly,23-04-2024,08-01-2026,800,No,Active,9600,25-34,Safe,Apr-24,,,,
10206,37,M,Quarterly,15-09-2023,24-09-2025,1000,No,Inactive,3000,35+,High Risk,Sep-23,,,,
10207,28,M,Quarterly,22-12-2023,21-09-2025,1500,Yes,Inactive,4500,25-34,High Risk,Dec-23,,,,
10208,43,M,Quarterly,04-05-2024,05-12-2025,1000,No,Inactive,3000,35+,High Risk,May-24,,,,
10209,40,M,Quarterly,27-01-2024,17-12-2025,1500,Yes,Active,4500,35+,Safe,Jan-24,,,,
10210,45,F,Monthly,04-01-2025,05-01-2026,1700,Yes,Active,1700,35+,Safe,Jan-25,,,,
10211,42,M,Monthly,18-09-2025,23-12-2025,1700,Yes,Active,1700,35+,Safe,Sep-25,,,,
10212,24,F,Quarterly,21-01-2025,17-12-2025,1500,Yes,Active,4500,18-24,Safe,Jan-25,,,,
10213,18,M,Yearly,30-05-2025,06-01-2026,800,No,Active,9600,18-24,Safe,May-25,,,,
10214,18,M,Monthly,04-09-2023,18-10-2025,1700,Yes,Inactive,1700,18-24,High Risk,Sep-23,,,,
10215,42,M,Quarterly,07-03-2025,23-12-2025,1500,Yes,Active,4500,35+,Safe,Mar-25,,,,
10216,44,M,Quarterly,05-10-2023,29-09-2025,1500,Yes,Inactive,4500,35+,High Risk,Oct-23,,,,
10217,42,F,Quarterly,08-06-2025,25-12-2025,1500,Yes,Active,4500,35+,Safe,Jun-25,,,,
10218,37,M,Quarterly,21-09-2024,23-12-2025,1500,Yes,Active,4500,35+,Safe,Sep-24,,,,
10219,30,F,Monthly,31-05-2025,26-12-2025,1200,No,Active,1200,25-34,Safe,May-25,,,,
10220,26,M,Quarterly,06-01-2025,20-11-2025,1500,Yes,Inactive,4500,25-34,High Risk,Jan-25,,,,
10221,20,M,Yearly,25-09-2024,21-12-2025,800,No,Active,9600,18-24,Safe,Sep-24,,,,
10222,24,M,Quarterly,01-08-2024,05-10-2025,1000,No,Inactive,3000,18-24,High Risk,Aug-24,,,,
10223,23,M,Monthly,12-09-2024,05-10-2025,1700,Yes,Inactive,1700,18-24,High Risk,Sep-24,,,,
10224,25,M,Quarterly,15-10-2025,05-01-2026,1000,No,Active,3000,25-34,Safe,Oct-25,,,,
10225,44,M,Yearly,18-08-2024,20-12-2025,1300,Yes,Active,15600,35+,Safe,Aug-24,,,,
10226,26,M,Monthly,21-04-2024,03-01-2026,1700,Yes,Active,1700,25-34,Safe,Apr-24,,,,
10227,22,M,Yearly,05-03-2025,31-12-2025,1300,Yes,Active,15600,18-24,Safe,Mar-25,,,,
10228,18,M,Yearly,27-10-2023,26-12-2025,1300,Yes,Active,15600,18-24,Safe,Oct-23,,,,
10229,36,M,Quarterly,16-04-2025,21-10-2025,1000,No,Inactive,3000,35+,High Risk,Apr-25,,,,
10230,27,M,Yearly,24-11-2025,02-10-2025,800,No,Inactive,9600,25-34,High Risk,Nov-25,,,,
10231,29,M,Yearly,21-12-2024,27-12-2025,1300,Yes,Active,15600,25-34,Safe,Dec-24,,,,
10232,41,M,Yearly,31-01-2025,27-11-2025,800,No,Inactive,9600,35+,High Risk,Jan-25,,,,
10233,32,M,Quarterly,13-08-2024,04-12-2025,1500,Yes,Inactive,4500,25-34,High Risk,Aug-24,,,,
10234,44,M,Monthly,13-09-2024,18-12-2025,1200,No,Active,1200,35+,Safe,Sep-24,,,,
10235,39,M,Monthly,13-02-2024,19-11-2025,1700,Yes,Inactive,1700,35+,High Risk,Feb-24,,,,
10236,41,M,Quarterly,03-04-2025,28-12-2025,1500,Yes,Active,4500,35+,Safe,Apr-25,,,,
10237,26,F,Monthly,23-12-2024,25-12-2025,1700,Yes,Active,1700,25-34,Safe,Dec-24,,,,
10238,37,M,Monthly,08-08-2024,29-12-2025,1700,Yes,Active,1700,35+,Safe,Aug-24,,,,
10239,34,M,Yearly,12-01-2025,24-12-2025,800,No,Active,9600,25-34,Safe,Jan-25,,,,
10240,34,M,Yearly,01-08-2024,04-01-2026,800,No,Active,9600,25-34,Safe,Aug-24,,,,
10241,43,M,Quarterly,21-11-2023,05-11-2025,1500,Yes,Inactive,4500,35+,High Risk,Nov-23,,,,
10242,37,M,Yearly,30-11-2025,31-12-2025,800,No,Active,9600,35+,Safe,Nov-25,,,,
10243,29,M,Yearly,03-04-2024,21-12-2025,800,No,Active,9600,25-34,Safe,Apr-24,,,,
10244,24,F,Monthly,19-07-2025,28-11-2025,1200,No,Inactive,1200,18-24,High Risk,Jul-25,,,,
10245,19,M,Monthly,23-10-2024,25-12-2025,1700,Yes,Active,1700,18-24,Safe,Oct-24,,,,
